c,sigma1,pi,piStar,y
158.0,2.3270479674415037,0.9575267519292237,0.94,4.4459287621049395
161.0,2.108905438997588,0.998037930618969,0.94,3.791658785853125
160.0,1.9507995512934044,0.9648188116089385,0.94,-2.2428544836888378
164.0,2.0985322367297585,0.978498356776966,0.94,2.815560127574598
168.0,2.090478796046893,0.9748949828951815,0.94,2.6536122581531845
168.0,1.7776227976143562,0.9362531462422701,0.93,-3.9428479199418276
154.0,2.3097291537129383,0.997302556858588,0.94,-4.337868795924722
176.0,2.2447573459788015,0.9836730244349017,0.94,4.101622343058796
159.0,1.9813406605985047,0.9533934975902183,0.94,2.319469824001742
153.0,2.272433784103129,0.9455478142698249,0.94,4.648090297894919
160.0,2.0567056104397925,0.9446919264580105,0.94,-3.0630682629691397
154.0,2.575072997101327,0.9999901723217162,0.94,6.397501170283884
164.0,2.2218985572929113,0.9636802754860547,0.94,3.801132668113553
155.0,2.229670035432833,0.9492540477771664,0.94,-2.404309449540806
159.0,2.1702340430858795,0.9883515710655304,0.94,-3.0545462220748423
152.0,2.582132587371839,0.999992988809984,0.94,6.022984241940352
156.0,2.347291443675328,0.9899316446979693,0.94,3.055836862985628
165.0,2.10079667036187,0.973209145383403,0.94,2.5211478710467374
167.0,2.3871353698374276,0.9995985527915751,0.94,4.513860772683184
169.0,2.3268637262251843,0.9996029005397378,0.94,4.5766317636675025
152.0,2.4066450175311367,0.9996682893334556,0.94,4.375309644671561
162.0,2.0928534553620053,0.9661550059821128,0.94,-2.9607491319355344
158.0,2.2686020359482395,0.9797360876639697,0.94,4.340853350206212
151.0,2.179181912309122,0.9490670499812172,0.94,-3.72609329899617
152.0,2.3403233113393753,0.9579508668322746,0.94,4.510582697030554
151.0,2.2804610716624523,0.9491135170682176,0.94,4.448939118423192
165.0,2.1820594699423723,0.9585451253810086,0.94,-3.405137810534703
154.0,2.288083693495118,0.9921621311041999,0.94,3.6184119085505295
162.0,2.203273278996378,0.9437687557446386,0.94,3.7821086035503293
153.0,2.378235895667791,0.9986091720331345,0.94,4.225579898275875
158.0,2.272775994195192,0.9565386372166282,0.94,-3.5450455296498404
154.0,2.301437453961671,0.9977468718326983,0.94,-3.2806893041887335
162.0,1.5331221821012433,0.9783469970933081,0.91,-3.2506462872267745
159.0,2.3879580992523626,0.9998325970620718,0.94,-4.247471176058181
161.0,2.4076738482885536,0.9996974670121251,0.94,4.135644634545126
163.0,2.4748885924954838,0.9994809433576073,0.94,-5.188181527012375
159.0,2.3427043161679384,0.9916055106195459,0.94,4.279012676164782
152.0,2.1206368477628192,0.9412517463497959,0.94,-2.229215421376876
152.0,2.307765449172584,0.9907892808698859,0.94,5.384121476998334
164.0,1.8630733002455544,0.9456841019169397,0.93,-2.2806993644487124
155.0,2.169402066006656,0.9786580722854636,0.94,4.00656791348805
162.0,2.1852668142551788,0.9943504837001056,0.94,4.26607639488259
157.0,2.3471132781979915,0.9893033616085446,0.94,3.971078051863416
154.0,2.304611514646427,0.9690954348944288,0.94,-2.961882906041569
152.0,2.4835631797088458,0.9989491050837696,0.94,-5.260180348391641
153.0,2.29537930690896,0.9588322966506889,0.94,-2.9645011593986803
151.0,2.242678903686094,0.9531122547967664,0.94,3.1260372360026705
