c,sigma1,pi,piStar,y
210.0,2.0112111473201346,0.9799566326428475,0.92,-3.406371090348133
202.0,1.8786564011762028,0.9637961080854797,0.92,-2.7895022497817843
227.0,1.8864015135129175,0.9332206365790372,0.92,2.146448280712298
200.0,2.0657567843654427,0.9697592974958634,0.93,4.991939858099367
206.0,2.03579721508029,0.9209810228741777,0.92,3.4629663968316398
223.0,1.6311928123317792,0.9906711472607631,0.9,3.3082723259611506
201.0,2.20598467563878,0.9875475972858601,0.93,-4.441240035813333
205.0,2.3005818768350172,0.9940696022468836,0.93,3.141578678423639
202.0,2.3022098420663633,0.9955501703509055,0.93,-4.822826003814135
200.0,2.2246078820834825,0.9973715413743568,0.93,5.270509649299868
201.0,2.3281199138722215,0.9992820123500844,0.93,-5.833142737791658
200.0,2.0620637634901975,0.9554997291393639,0.92,4.301214541634452
213.0,2.054197548847155,0.9703278784798536,0.92,2.5299306184211146
212.0,2.1190526409792243,0.9871111247010427,0.92,3.227457250424235
213.0,2.12673163545164,0.9917375583482834,0.93,3.4762313385346344
220.0,1.7618814449849138,0.9543404671565879,0.91,-2.565605040483977
206.0,2.194966660365884,0.9896885643296192,0.93,2.9901868149578656
213.0,1.8240840590199823,0.9134113391787083,0.91,-1.3547836380598295
205.0,2.0809220107714776,0.988033937059217,0.92,-3.102684127424046
204.0,2.1937261236107197,0.9632810240180589,0.93,-2.069599991966662
200.0,2.3127971761294086,0.9974974553200434,0.93,5.18438608192677
214.0,1.8177886594968133,0.9559045997044457,0.91,2.174172984043879
202.0,2.1236975955619655,0.9835178906720023,0.93,-2.861934120493179
205.0,1.9403668584694687,0.9671981694914847,0.92,2.995659798874468
211.0,2.155001648718899,0.9866961406572773,0.93,-4.0962803751380985
205.0,2.0648628311236696,0.9727268929476574,0.92,-3.280790909129808
211.0,2.267652112081647,0.9885273624326364,0.93,3.116646011804872
201.0,2.0508583888437393,0.963123581400992,0.92,-3.625966429354544
217.0,2.039946141431878,0.988344990231823,0.92,2.9239339292922772
204.0,2.0296263472644127,0.9527771645905222,0.92,-2.7036405084630575
204.0,2.4683223940533043,0.9999574333825436,0.93,-5.563248227761887
214.0,2.099901376093799,0.9988229338833373,0.93,-4.166121447866223
207.0,1.5231486711825877,0.9608356025131017,0.88,-2.617803254629212
204.0,2.23290687786149,0.9918180726201362,0.93,-4.260758315740739
216.0,2.254814728328475,0.9984610806396728,0.93,-4.932387756399248
200.0,2.3174790903298987,0.9947948194219154,0.93,5.038301088649058
232.0,1.9974094676740477,0.9231463654329608,0.92,2.2048013669984834
202.0,2.118748841093926,0.9636681178294939,0.92,1.985190659270757
201.0,2.0142224465252077,0.9656757938784256,0.92,-3.0446037746941506
206.0,2.0541051725524406,0.92926935818596,0.92,2.0252493691584013
218.0,2.174729016274771,0.9998453586672267,0.93,5.052421250865028
217.0,1.8255667936200968,0.9380372819639531,0.91,-3.2464212304860327
202.0,2.18466008110835,0.9847759062170053,0.93,3.175154687384168
223.0,1.982279356586193,0.9683915704209102,0.92,2.3801234491318946
220.0,1.9304894861995556,0.9231060994004137,0.92,-4.458213950331001
202.0,1.9375421879328927,0.9556481985493387,0.92,-2.3962728759405025
202.0,2.1898381629094597,0.9690033319342283,0.93,-4.488628839328001
208.0,2.2216412143513833,0.9975968677742183,0.93,-3.5461597370917577
205.0,2.147148148739868,0.9363920544066583,0.93,-2.342833419683246
131.0,0.24624885573456945,0.988342359209037,0.98,0.07853645710394232
204.0,2.102820319635448,0.9357528801624384,0.93,2.875033645913578
210.0,2.1088035656072956,0.9238287358747869,0.92,-2.1297679580040905
203.0,2.2618231620043665,0.9972276372851051,0.93,3.4237150412889905
202.0,2.3250280910752665,0.9999930474797802,0.93,-5.894147844630051
210.0,2.3161067845623347,0.9999281585975796,0.93,4.912047767582352
202.0,1.9963234594420185,0.9402134482225927,0.92,-2.693551541815155
228.0,1.85638047960253,0.9377678022941704,0.92,-2.498596022445455
206.0,2.2765628910451925,0.9995704334153891,0.93,-4.853441839616207
205.0,2.3782763363136366,0.9999157317887067,0.93,5.514547398441091
207.0,2.033626544000334,0.9555671247439097,0.92,2.027403032687567
213.0,1.8560675038426762,0.9951338980839364,0.92,-3.8080393253357623
214.0,2.046702947286049,0.9587230696028158,0.92,1.9627640858306252
210.0,2.317513141164331,0.995686858239831,0.93,-3.5189414731571387
211.0,1.9933458097891907,0.9636679535343189,0.92,2.306341566619716
167.0,1.9843882122765835,0.9262449906637719,0.92,2.9152522213972474
203.0,2.2421037496145826,0.9995310112256253,0.93,4.15818676552102
191.0,2.1295312692269004,0.9564017919959507,0.93,-2.8467069716997404
226.0,1.9353897433432765,0.9775675674560108,0.92,3.3258995519257466
202.0,1.3632435315921325,0.8896063676002657,0.82,2.1198186463886284
202.0,2.1483788856744392,0.9401027199214144,0.93,2.2030619349714677
213.0,2.1237570723883787,0.9958666786827965,0.93,-3.610741426256073
210.0,2.1031026634800725,0.9768332616817623,0.92,3.1377493804660794
205.0,2.1021032327139495,0.9658068456966239,0.92,3.1067465800878575
206.0,2.0443572202605,0.958047625574346,0.92,-3.2444709394541227
218.0,1.7992082376567922,0.9825590923172317,0.91,3.2060316282482146
206.0,2.0656921132873416,0.9671819678066415,0.93,-2.7860772697258263
209.0,2.115891556704212,0.9982902416848078,0.93,-3.7006821137125123
206.0,2.0848223192866677,0.9971408053005524,0.92,3.963765059080494
205.0,2.0993864827031925,0.9504459998591724,0.92,3.7066426746750714
203.0,1.7109411383653246,0.9013679265404962,0.9,-2.716765443955198
212.0,2.0980799043419456,0.9957485160943499,0.93,-3.23335241561906
206.0,2.3171312864209,0.9748610143345191,0.93,4.720059832936375
204.0,1.6983668934970515,0.9247807485266029,0.9,3.22974199823241
212.0,2.524105599468806,0.9999999509326267,0.93,-6.699660046144916
203.0,1.841982378383305,0.9861737000639278,0.91,3.055217915958446
217.0,2.062027410507363,0.9589016066200289,0.93,4.011011282011036
202.0,2.2724365403273574,0.9878824124130969,0.93,5.593108656541816
202.0,2.2282876332798867,0.9882401402936436,0.93,-3.511289009381858
207.0,1.4834973204867945,0.9916529922354393,0.87,4.167991565204847
225.0,1.9449848724900352,0.9707686420623686,0.92,2.508284211132016
209.0,1.8903580422448596,0.9555938281217086,0.92,2.086352963869186
133.0,2.357743008749062,0.9741888032541358,0.93,4.170859518298998
209.0,1.9485054054139492,0.9552923012286528,0.92,-2.7763522181803504
205.0,2.112977155374281,0.9896441360087195,0.92,-3.1444763953419637
206.0,2.498766401381344,0.9999787986332119,0.93,-6.410659708028649
208.0,2.468939873493909,0.9999935952311052,0.93,5.963556903489973
205.0,2.03076413531944,0.9910665317223127,0.92,-3.7997838259137557
228.0,1.9515241783765467,0.9340634300847206,0.92,-2.8287534857407124
209.0,2.1691173129084627,0.9999937238864046,0.93,6.2025751546921
209.0,1.9047810402989807,0.9570846030641406,0.92,2.2115537721240526
233.0,1.9804038412373923,0.9581625454053029,0.92,-3.154490958288756
208.0,1.9657387526167225,0.9870740969457233,0.92,-3.59797864446352
212.0,2.310067822553813,0.9980859269707808,0.93,4.828550828110623
204.0,2.2176177528923984,0.9903276109153079,0.93,4.584196015350536
226.0,2.040539437425788,0.9921535646105354,0.92,-3.1584622397806794
212.0,2.270200860258774,0.9993615291806356,0.93,4.3813068552659
208.0,1.9632902280631293,0.9227405107688664,0.92,-1.4522129324625752
209.0,2.332047474182199,0.9978130915767014,0.93,-4.584577939642113
211.0,2.0280629826112455,0.9680484871077354,0.92,2.6533290167714028
204.0,2.008620619782644,0.9760784855220541,0.92,-4.3216141837226685
201.0,2.361736943718001,0.9999054981931682,0.93,5.307318445423071
213.0,2.039954961240223,0.9914869284838048,0.92,-3.110228759569068
213.0,2.4492773283792215,0.9999297586185509,0.93,-6.304880792571453
209.0,2.0935441188421717,0.9958572418819829,0.92,3.4281674959201904
200.0,2.405461171074844,0.9999431484202527,0.93,5.901185694999431
183.0,0.2032851563947399,0.9876831882551363,0.98,-0.07186291925268862
202.0,2.2185304878742453,0.9934559416492984,0.93,-4.323819729379562
209.0,2.3679545654233025,0.998901112508269,0.93,4.926547220812064
204.0,2.2616594521514486,0.9960752170759314,0.93,4.845374613408314
212.0,2.149402588064646,0.9990918015344791,0.93,-4.1161922327781815
209.0,1.8366184056844268,0.9807853524926232,0.92,2.909317517286728
237.0,1.4606186069912142,0.9634088300234104,0.86,3.0313469118817626
208.0,2.0335373653498316,0.9795475828745688,0.92,3.433465108037806
208.0,2.201335310540766,0.9935819721677788,0.93,4.702666485203271
206.0,1.9613214682091444,0.9638173039063881,0.92,-2.952128598546958
207.0,2.072345864116913,0.9526953980146774,0.92,-2.7396655514309147
208.0,2.206998966585924,0.9818193395607818,0.93,-4.19560574522054
203.0,2.304083201949851,0.9933138212619451,0.93,4.385399164164076
203.0,2.219360394422817,0.9967037627670473,0.93,3.3143640778059926
205.0,1.9004164885134582,0.9624034761679783,0.92,3.676270140416032
205.0,2.0925305293350567,0.9420930288968533,0.92,-2.921370443750072
203.0,2.245799388536561,0.9955004760321086,0.93,-4.968368843514295
234.0,2.040268933667823,0.9921376942844993,0.92,4.540426058142504
207.0,2.2842961087633973,0.9992840198748394,0.93,4.40356828549611
203.0,1.4145385057916393,0.9430958731683478,0.84,3.7539319186900086
204.0,1.7765678534446574,0.9466134907450205,0.91,-2.3269046984807558
225.0,2.0403665700871243,0.9337107689706124,0.93,3.9467860175399547
209.0,2.0038690633600025,0.9893579043205761,0.92,3.7705297435099356
233.0,1.9077789602058413,0.9694681138174855,0.92,3.278681977529535
225.0,1.8740359448167117,0.9391196781331435,0.92,-2.6030680711230683
207.0,1.901220727432647,0.9916713409210715,0.92,3.181693973351562
205.0,1.577759994174135,0.8851770248761193,0.88,1.8304209994053944
206.0,2.1349127918212787,0.9893854331459826,0.93,-3.8988428199402168
214.0,2.006651250263187,0.9575669366641516,0.92,4.188602407349256
112.0,1.8605866594871625,0.9114913266573281,0.91,2.682694169645606
188.0,2.07891656345343,0.9566558284651704,0.92,-2.568013302396244
207.0,1.9917851207355097,0.9386077333888896,0.92,1.987684396941454
207.0,1.7398843014057135,0.9377416640977337,0.91,2.1499065518726956
224.0,2.0081067875982743,0.9394677050510015,0.92,-2.1323370539763626
208.0,2.09312633189815,0.9626891720317469,0.92,4.0745707549516
205.0,2.2052960231722794,0.9993412919104804,0.93,4.609292916578117
211.0,1.7958666314817848,0.9161368742885575,0.91,-2.210486350335868
112.0,2.3532556307613692,0.9940329298549662,0.93,-3.5415062005023543
205.0,1.8962710095055697,0.9491510566082836,0.92,-2.641939830206181
206.0,1.9267299357317957,0.9825493321921793,0.92,3.0714888411662162
207.0,2.5368322873152502,0.999996899136846,0.93,-5.689154031027831
214.0,1.9277270922974743,0.9351324197253226,0.93,-2.689599630357479
227.0,1.746508452434165,0.9237826945224313,0.91,4.159274704853019
211.0,1.8297811235232342,0.9209382004251352,0.92,3.7118374667070158
213.0,2.316514683520057,0.9983347556303647,0.93,-4.81964978672338
200.0,2.2568994898386627,0.9522018461490339,0.93,-4.618237611202802
203.0,2.2354928621466974,0.9877044760161041,0.93,4.209520512892574
205.0,1.8915879433315224,0.946452309783581,0.92,4.011903078501961
211.0,2.180626365069209,0.9995028658514808,0.93,5.439568315475234
205.0,1.7861706236447565,0.9886208917105429,0.91,-4.416297777516502
215.0,2.2700871719027265,0.9995550740772291,0.93,4.460189846642606
215.0,2.1844119336524104,0.9585850607203643,0.93,-4.571937693755589
200.0,1.9819926360324096,0.9990752570671936,0.92,-4.5247841565291544
209.0,1.9390189214789175,0.9799197703280706,0.92,-2.9251470712921366
204.0,2.191956371652525,0.9597358333231213,0.93,3.1764955748287327
201.0,1.780483883969525,0.9785580013524503,0.91,-3.3750047375752166
210.0,2.0935002181100786,0.9903759672323541,0.92,2.967313347335939
212.0,1.4043261142098376,0.9074353233519385,0.84,3.066532531813243
217.0,2.0326827013727424,0.9698726956531813,0.92,3.3553599013999644
244.0,1.865674410572156,0.9824594712197277,0.92,-2.6198074930826154
209.0,2.192960337800609,0.9985019574071884,0.93,4.150762197933392
208.0,2.2459447343301715,0.999681678721444,0.93,4.401986457965175
205.0,2.2116969704375355,0.9999199869463704,0.93,4.733141387785084
202.0,2.175467422528711,0.9718178536647574,0.93,3.6227698445758563
203.0,2.2520239741065438,0.9848419106365428,0.93,-4.533139223780487
210.0,2.3361220786373393,0.9999844910511813,0.93,-5.178463809089589
215.0,2.2437063833799495,0.9865803689576508,0.93,-4.663841319254431
206.0,2.177304422588595,0.9675575441467194,0.93,4.081870522751951
221.0,2.0200313393378675,0.9977450730572051,0.92,-3.827799715472699
207.0,2.030108271081765,0.9889290106846671,0.92,2.810349150045505
208.0,2.004992905711108,0.9880070727772376,0.92,-3.8724891620580224
204.0,2.327286797090034,0.9997496140891639,0.93,4.555010901201011
207.0,2.1381726049328877,0.985602279285309,0.93,-5.064270511234023
215.0,1.841605291907549,0.9322088625838139,0.92,-3.663122587819259
201.0,2.2002974820157633,0.9651628923704254,0.93,-2.3278829607356895
201.0,2.3303285601602526,0.9971242994921499,0.93,4.77005945880087
211.0,1.8215959759868459,0.9655113658073976,0.91,-2.478066681317876
211.0,2.1416207810548644,0.9949691858624198,0.93,3.8329075470898717
200.0,1.949037628976407,0.9729972515902324,0.92,-4.770051044801911
162.0,0.1871260220191975,0.9927415951653044,0.98,-0.07363162465770869
234.0,2.006616648953274,0.9935095554369071,0.92,4.780963597156543
201.0,2.2405393407754945,0.9588275981141209,0.93,-4.448823218145033
220.0,1.8879271137143565,0.997831322394062,0.92,3.8039193040406833
206.0,1.6439205717396004,0.907887831799033,0.89,2.014717457572221
228.0,1.9914980416374841,0.9986419605758147,0.92,4.521996617782893
200.0,1.3358927498097948,0.8666726260654275,0.81,3.8262484882971317
226.0,2.0495636019670114,0.9902483815722113,0.92,3.0404198732723136
208.0,2.116296537811847,0.9965768708429471,0.92,3.4365246386934993
208.0,1.9542134673348501,0.9834673021382944,0.92,3.307046581224473
201.0,2.2546118729893956,0.9891486424094731,0.93,4.81455004865422
206.0,2.113478062424255,0.9768688776614085,0.93,2.7634026567722567
202.0,2.0444986898217357,0.9235634712302443,0.92,3.3999468283653935
237.0,2.0164729798484893,0.9272117733581059,0.92,2.7455195528896654
211.0,2.220867104368354,0.99706094268574,0.93,-3.8669404082084027
201.0,2.013633399679678,0.9677238425458475,0.92,3.452240371655407
202.0,2.0875675503107565,0.9843755824103712,0.92,3.70316987037183
200.0,2.0100396420567637,0.9661188066136732,0.92,-4.348667248458592
203.0,2.462748229280368,0.9993663670305546,0.93,5.574015515773038
208.0,1.906465665376874,0.9314322859244913,0.92,-2.7576785504980106
203.0,2.3215525568120277,0.9931183568139853,0.93,-3.921124475704391
220.0,1.9546401286459327,0.9372292611794149,0.92,-2.693792419974613
212.0,2.3417884346426643,0.999983959271141,0.93,-5.1363544726068335
213.0,2.58709680516975,0.9999999820305032,0.93,-7.170436840854575
202.0,2.431322110931957,0.9999843363186637,0.93,-5.14412095334187
207.0,2.023096683978893,0.9838204325317047,0.92,-2.9446688826923113
212.0,1.8132308725550872,0.9762739221168012,0.91,-3.3345777140508415
202.0,2.0642246724014712,0.96303545734271,0.92,3.079082176213065
204.0,2.455273277974958,0.999864809594467,0.93,5.876957652192653
205.0,1.8890351221072406,0.9448556673158264,0.92,-3.247984089764469
205.0,1.9915778963784125,0.9594088852477148,0.92,-2.78299647050162
205.0,2.1417882651467157,0.9692537736228553,0.93,-4.00323000128382
204.0,1.9641706724941468,0.9411352583675153,0.92,2.594568154716909
208.0,1.9345319080126826,0.9605015462294608,0.92,2.9119748412441067
204.0,2.019133151715758,0.9560840495961909,0.92,1.8352522817939343
204.0,2.146026721995435,0.9967849431321395,0.93,-3.5146448480037162
205.0,1.828159281426409,0.9307382578400758,0.92,-5.087487195347693
207.0,2.013555068960744,0.929511095431093,0.92,1.5627621104642835
209.0,1.7630936057451914,0.9117233983148174,0.91,1.7083738428079938
211.0,1.9324960108992153,0.989559319753123,0.92,3.9173173866829276
209.0,2.093395900477247,0.9894090600703968,0.92,-4.57519013616102
220.0,2.1386305214737917,0.9988968517909682,0.93,-4.788967631292864
206.0,2.1940078563579455,0.9902076384920993,0.93,4.814481773010335
205.0,2.2078270474407566,0.9956049306994992,0.93,-3.757306692084066
207.0,1.9554165259446785,0.9789694698596347,0.92,-3.391998712050596
213.0,1.9026246839771952,0.98305316337528,0.92,-3.0895068955391687
205.0,2.2683602049595293,0.9874215865012995,0.93,-4.6983648115159005
201.0,2.1621446097993418,0.9905218816564593,0.93,-4.303815134927131
200.0,1.9955563502649598,0.941155658288713,0.93,-4.536878160475649
206.0,2.1519207219836742,0.9855999775732898,0.93,3.2622665152520582
208.0,2.1838866594166064,0.9506640027575378,0.93,4.612596170501193
210.0,1.9549919841760741,0.9712195782869383,0.92,2.9195871255152896
210.0,1.967088293884351,0.9606571391135968,0.92,2.51293067210749
214.0,1.7042117551217117,0.9334380657859768,0.9,-1.8774771519024074
204.0,1.3363266104597655,0.8392717934506552,0.81,1.9437166621095305
210.0,2.1786547236317184,0.9747444982209948,0.93,4.33402398635058
209.0,2.330417618873226,0.9978542595083786,0.93,5.00045803356097
205.0,2.123659497049813,0.9671680898964724,0.92,-3.563378380350381
225.0,1.731364556359854,0.9574834790119042,0.91,3.129993978202678
203.0,2.422128261906138,0.9998914508717899,0.93,-4.404593562598899
203.0,1.8405396814360258,0.9754622257259091,0.92,2.928509719995384
203.0,2.1865733712273263,0.9822805366562147,0.93,3.4982303702733324
213.0,2.2024538444274837,0.9982697160182717,0.93,-3.959209140885298
238.0,1.9247713093472874,0.9629486437495923,0.92,-3.959810032479213
209.0,1.8431152147445293,0.9883553228415617,0.92,3.069431592286711
209.0,2.167946215177892,0.9583870499662057,0.93,-4.775661007951343
204.0,2.1346519318932566,0.9723418270498573,0.93,-3.252423380479843
216.0,2.1275639863949314,0.9965830007467823,0.93,3.526814576239118
226.0,1.7270852174934963,0.9212090971513592,0.91,2.752767097472089
217.0,1.777674373547488,0.9629074153401661,0.91,-2.676527623399103
224.0,1.9471733873186465,0.9582731525652152,0.92,-2.5326398521771925
207.0,2.1663237578303938,0.9682548702557855,0.93,2.416903561827875
211.0,1.9791409265134385,0.9756826829161609,0.92,2.5483564764428692
204.0,2.224025571192917,0.9793889860405962,0.93,4.582944138961303
205.0,1.810412682952299,0.9487526034005531,0.91,2.422807756816682
203.0,2.1752262910048925,0.9722145201910201,0.93,-4.5965199035662225
241.0,1.6333023188108313,0.9095215983653913,0.89,1.4821725120986846
212.0,1.9953103522510722,0.9996873517546789,0.92,4.500051715871443
205.0,2.1118957946253034,0.9988185963605501,0.93,-4.319437889236319
210.0,2.2838957047118926,0.9998366245851728,0.93,4.701388870772682
230.0,1.701520859481407,0.9223121797413945,0.9,1.7400558043190282
204.0,2.0658118658441853,0.9235193101037318,0.92,-2.0106377159201965
214.0,2.130370668721784,0.9701142814060897,0.92,-2.308802196796139
205.0,2.156824324202047,0.9806254645401667,0.93,-3.0778437938098344
204.0,2.232828308639978,0.9909364629833041,0.93,4.6590715080436995
167.0,2.048232840466271,0.9453190599571968,0.92,-3.3429292987398007
221.0,1.8331814078046964,0.9642623522235865,0.91,-3.275052358022783
205.0,1.9865798232923202,0.935943172538264,0.92,-3.102275878971706
204.0,2.0518964914374003,0.9762237949582269,0.92,2.915372435800434
203.0,2.0886113179456265,0.9632213130868241,0.92,-2.9465124112735137
209.0,2.3390166266111425,0.9999985572497491,0.93,6.281406595718313
206.0,2.2400604366712624,0.9992036207022226,0.93,3.9495125387307133
205.0,1.9282630266487708,0.9523066758204014,0.92,-2.6366075684296244
210.0,2.315869094125544,0.9993984068255088,0.93,4.895644954177172
207.0,2.1534558184407935,0.9920337621817548,0.93,4.158426905010632
204.0,2.2802766007018547,0.9936291007552915,0.93,2.9777056796723067
221.0,1.8082647156550797,0.9410183205902957,0.91,3.0712233218926444
202.0,2.27186600478203,0.9975272465700277,0.93,-4.519150663455695
197.0,2.227341912479048,0.9687803793444355,0.93,4.259451235102094
206.0,1.8729652175370712,0.9969754548103802,0.92,3.7765224747693518
206.0,1.9003232743932397,0.9733128816230676,0.92,-2.833539243111757
206.0,2.1006644130311063,0.9699364081384355,0.93,4.706750680248317
212.0,2.1313215713843436,0.9921728792954427,0.93,3.451232816151228
213.0,1.3720850568860048,0.9281553201919139,0.83,-3.5405820927561162
206.0,2.0498488220327604,0.9502655886862297,0.92,-3.552752661723747
223.0,1.9586306619879077,0.9513255271197919,0.92,-4.012462653173233
208.0,2.2124311864127524,0.9994784300991929,0.93,-4.874633859734733
208.0,2.2835285290708165,0.9960674446122293,0.93,-4.284153625260183
213.0,2.0147470214033207,0.9373987720521989,0.92,-2.376953331168852
201.0,2.4255872405597922,0.9999885186792896,0.93,-5.982001809513437
211.0,1.7995335100595111,0.9207416341683188,0.91,-2.603951591576406
208.0,2.1957740926114133,0.9987249868003085,0.93,3.658175733454685
205.0,2.086535366584423,0.9979553191891567,0.92,4.333349552569947
145.0,2.1622125534525294,0.9422591696129964,0.93,3.3507593246852094
216.0,2.250749154270318,0.9946701601196835,0.93,-4.472330361865315
222.0,2.280291777932215,0.998015037520012,0.93,3.437573792921522
200.0,2.427112255179678,0.9991705713638015,0.93,-5.337453646326188
202.0,2.436506528065366,0.9989119866961528,0.93,-5.528286877313943
217.0,1.9021527476985878,0.948570471449432,0.92,-2.9752559160631917
209.0,2.279380871666003,0.9866519330697482,0.93,4.540734264305178
213.0,2.4019175177055727,0.999893698168636,0.93,-5.499338719656299
205.0,1.915042483466246,0.9762496132372789,0.92,3.0548709093822373
217.0,1.8996712244038614,0.9543093771155521,0.92,-2.9042877169534203
206.0,2.0442355966570647,0.9345520568936583,0.92,-3.9235391030912488
208.0,2.0655396749375243,0.9898774835393758,0.92,3.07787123932386
202.0,2.22396668509961,0.9977834852236124,0.93,-4.050703825152793
210.0,1.9638401632172908,0.9700096985940477,0.92,4.357945356354086
200.0,2.090955212589958,0.9682371628397487,0.92,4.065061930171703
206.0,2.3909276715537064,0.9999966925661183,0.93,-6.438211215159369
209.0,1.7898764602804709,0.9766831554019096,0.91,-3.6779981172398597
212.0,1.558592951645978,0.8944667990430252,0.88,2.810305241927929
206.0,2.4104283688088985,0.9999976868344357,0.93,6.144702920070803
205.0,2.57124576951583,0.9999999540281596,0.93,-6.80027039907881
212.0,1.9475809252485041,0.927233400176559,0.92,3.0369643859046187
203.0,2.4814539569330836,0.9999186028547747,0.93,5.826382165416987
221.0,2.0211966605931493,0.9919567037870571,0.92,-3.406366651043257
215.0,2.0781892910063404,0.9897415681876738,0.92,-4.151635503072946
207.0,2.000354102140164,0.9737127753628826,0.92,-2.509111734338331
