c,mu1,pi,piStar,y
225.0,0.9527352025395004,0.9610649082467736,0.96,0.9480636930260652
238.0,1.1926910776850905,0.9959891971573167,0.97,2.529245915330556
209.0,1.422088416945865,0.9972004729207666,0.98,2.2598794237770448
223.0,0.8646124794152048,0.9662154532686542,0.96,1.9060429951554567
225.0,1.090183015607325,0.9725797336577579,0.97,1.3098316896057427
212.0,1.100534120371923,0.9831391055758859,0.97,1.550940559472133
227.0,0.9933184303519127,0.9786981617737158,0.97,2.415523552226646
229.0,1.3239674748859476,0.9988614996432574,0.98,3.510318314977604
227.0,1.0822916508559426,0.9729126450059313,0.97,2.6756429959808026
258.0,1.0371244429460402,0.9776319280299027,0.97,1.309386412656803
206.0,1.2938799546940656,0.9948798188189407,0.98,1.9449556685696634
252.0,0.8071027970579951,0.9727688055762473,0.95,2.847765381888057
208.0,0.9162317870368805,0.9724234638711245,0.96,1.460188622155992
221.0,1.4371964364730574,0.9985085323590023,0.98,3.502525040754894
234.0,0.9355733143515044,0.9943165341963256,0.96,2.8746097219740614
218.0,1.2996075815036943,0.986937412384099,0.98,1.8738861736363914
230.0,0.9260254882027822,0.9864345366460866,0.96,2.290521444381187
218.0,1.0386378945859365,0.9792237379602257,0.97,1.1056677828524313
236.0,0.8070481329776363,0.9587767138974809,0.95,1.2701210951401491
223.0,1.3008664751604444,0.9872445819100504,0.98,1.6888383261022097
209.0,1.0177108419467074,0.9745617552477456,0.97,2.304987719523376
227.0,0.9531331476103028,0.9717771733581989,0.96,1.6354640620888596
240.0,1.0144000870554468,0.9884281482321662,0.97,2.2183589075059773
250.0,0.7313084083948136,0.9601726121555489,0.95,0.8367993448760112
212.0,1.1464653985539688,0.9763016124225739,0.97,0.9034339546586596
350.0,0.8842293960969492,0.9903413337686201,0.96,2.2843407536130274
209.0,0.9626362100515312,0.9741958389287179,0.97,2.555865790116357
253.0,0.8069160084147088,0.9666396735296328,0.95,0.9842685165919598
227.0,0.8897850141471616,0.9786717267445829,0.96,2.0021691515984883
214.0,1.075579974492731,0.9723150721197438,0.97,2.2429513827630343
212.0,1.1403552969553947,0.994238522121231,0.97,2.3920609661356815
211.0,1.1494115952519175,0.976345607394155,0.97,1.717756410996592
212.0,0.8608594078244367,0.9764592254579678,0.96,1.9524981043916119
249.0,0.9481673978011654,0.9693579462734259,0.96,2.529195475614358
224.0,0.8634314435977359,0.9661144828298152,0.96,1.0225706306625773
249.0,0.8048568130949694,0.9616527865700557,0.95,0.9800098324333117
219.0,1.1501970093454892,0.9743725483753362,0.97,2.6718595841277186
238.0,0.8022837859568976,0.9683556215619434,0.95,2.063523425106057
212.0,1.0262438242939171,0.9703154754768577,0.97,1.6880128410505066
225.0,0.8764454687236979,0.9647121400140807,0.96,1.8934711540720484
208.0,1.1516112394703866,0.981542721147288,0.97,1.6028725292026442
212.0,1.5308030125602639,0.9991164599769055,0.98,4.395933585537871
220.0,1.196314571057829,0.9903520970613273,0.97,2.05415170652157
244.0,0.9889852565208607,0.9776993032598265,0.97,1.9537188425585406
240.0,0.9063077852939397,0.9706690584504427,0.96,2.3597844097561365
740.0,0.6849591752567987,0.9715877811801612,0.94,3.205002395021056
278.0,0.7997467860015368,0.9687829885924681,0.95,1.5299850643206847
242.0,0.7748642537297208,0.9735985333821804,0.95,2.043438935305696
260.0,0.8042605333102713,0.9756227310431066,0.95,1.5914092242349287
234.0,0.8277839368057621,0.9860780862857432,0.96,3.035110918775972
211.0,1.157698550170846,0.9767264590294469,0.97,1.2507470730785042
221.0,0.9142222410325616,0.963928589712572,0.96,0.6381782667800199
206.0,1.2819748130340691,0.9824233271703833,0.98,2.4196333882875507
213.0,1.2809383307947657,0.9955556062869212,0.98,2.3039588820213757
217.0,1.0944443622954505,0.9717908914877892,0.97,1.320033302196415
222.0,1.3100951981741746,0.9903624737227603,0.98,2.696735787220621
218.0,1.0911916496027436,0.9770457247968023,0.97,1.123155771097969
219.0,1.0823970751020187,0.9786925660585295,0.97,2.7111157879905385
220.0,1.2317973272581402,0.9946205534837568,0.98,2.540243374130388
273.0,0.9620863696848216,0.9747648037842181,0.97,0.7365748150942285
228.0,0.9985881385519279,0.9836899468549903,0.97,1.3738450523751524
215.0,1.1153230965659455,0.9822909659402447,0.97,1.699367581572885
323.0,0.8204699161816627,0.9755472199102566,0.96,1.6255190904853598
230.0,1.3249527865779174,0.9965231900280708,0.98,2.2599786635557715
226.0,0.9889721039150956,0.9702824817265692,0.97,1.6360885224266233
218.0,1.1546482537646099,0.9746950152880304,0.97,1.4771751131055293
267.0,1.1133983750761416,0.9853145642553802,0.97,2.542294992739701
221.0,0.8991920884324305,0.9815222850037533,0.96,1.9051019232003272
242.0,0.9240027892943353,0.9748420552531751,0.96,2.2785751119188262
214.0,1.111091475818008,0.9725603940071218,0.97,2.292261996104805
208.0,1.0468968291012568,0.977134686228096,0.97,2.346242281615089
