c,mu1,pi,piStar,y
118.0,-1.6704724259903025,0.9946226768296416,0.93,-3.069406195747127
116.0,-1.5588991946737023,0.9818040599856036,0.92,-2.3415930923661126
115.0,-1.5496361778149916,0.9587799181025257,0.92,-2.880962957590387
115.0,1.3953684033620313,0.9119014172834674,0.91,2.45227067086985
113.0,-1.5415350850959748,0.9662040899946276,0.92,-2.7403230465633364
116.0,-1.5266466538272396,0.9333850589726073,0.92,-1.4450784025585912
168.0,-1.5393050070020635,0.9936360931197854,0.92,-3.100605874056364
136.0,1.5368303488375255,0.9723631411987086,0.92,2.225823285348624
113.0,-1.4864935209842796,0.9359214072070613,0.92,-1.8471008752420466
119.0,1.4643974012096097,0.9557795737033284,0.92,1.8149778524235942
114.0,1.637241899090657,0.9889989130959128,0.93,2.181752077702132
113.0,1.626538732040098,0.9668873843153567,0.93,1.5212797004123069
132.0,-1.3734175515016795,0.9967360048068079,0.91,-3.8382169535425157
119.0,-1.6041913603252278,0.9932817030564612,0.93,-2.5713034577231206
120.0,-1.6321120516757976,0.9717574848527026,0.93,-2.438804214148439
126.0,1.5098294808851156,0.9741470337461694,0.92,1.8825244790047344
115.0,1.424843363702987,0.9609647785785865,0.92,2.950833833470413
135.0,1.5828435642331051,0.9890786061762348,0.93,2.313109369242632
120.0,1.7509407376813542,0.9978303443561695,0.93,3.4143800347881808
113.0,-1.5934866766465026,0.9603321376258797,0.93,-4.330257241893165
115.0,1.5167711972254885,0.9475723436739653,0.92,1.1391586340174522
130.0,-1.0959719710240725,0.9700909794082828,0.88,-2.2996620376686687
113.0,-1.5729853775568665,0.945592416390656,0.93,-2.3930390077219226
118.0,1.428863092779811,0.9570984462693568,0.91,1.9214881844218232
122.0,1.5567933213417935,0.9396220071138495,0.93,2.9429068728617955
115.0,-1.5471606351415585,0.9245794389328715,0.92,-1.400890451571899
157.0,1.2025726051516141,0.9469957272763259,0.89,2.03201925563451
121.0,1.6742412821578696,0.98885799050574,0.93,3.4150513518647685
112.0,1.5404332691745646,0.9576051402835127,0.92,2.345339408351819
193.0,1.2485725844403945,0.9867620046935778,0.9,3.068501973216109
125.0,-1.5718603910228097,0.9483459353895787,0.93,-3.6656377118413594
130.0,1.5287478783229318,0.9872896875011157,0.92,2.949712171112459
120.0,1.6061945217458486,0.9803375019826023,0.93,2.4794870200512578
112.0,1.6723886971300945,0.9883781670388979,0.93,2.5796279887379465
114.0,-1.572671426890659,0.9581670328367592,0.93,-2.636168541467514
128.0,-1.6106556558524476,0.9814071537361582,0.93,-2.8920582081060204
154.0,1.5518715768924083,0.9965296214859101,0.92,3.2090364060683214
132.0,1.2715311936989635,0.914931889034914,0.9,1.3455112746684457
182.0,1.251169816336179,0.9675882261154949,0.9,1.7462063039919777
154.0,-1.228944532006558,0.9299359038185359,0.9,-1.9781444605160876
111.0,1.551474697972796,0.9446524586881562,0.93,3.280474988880347
164.0,-1.4357646866873233,0.9496569092635819,0.92,-2.9191718969972777
125.0,1.504863957913279,0.9655124146907235,0.92,1.730209155733973
114.0,-1.616996228165958,0.953148285269806,0.93,-3.2349693368732906
115.0,-1.5121846149613654,0.935861647226504,0.92,-2.3561736969944156
130.0,1.4075272695764023,0.9527167502853363,0.91,1.7866939307261713
112.0,-1.5079496951751126,0.9285431668378556,0.92,-2.3847606533703942
134.0,1.261972633471475,0.9031618695709482,0.9,0.6969158387615993
117.0,-1.606284765607546,0.9843021196307818,0.93,-2.046201413653755
139.0,-1.223148167249234,0.9319047971488498,0.89,-2.4520990685229735
163.0,1.3777721683832644,0.9686783997490646,0.91,2.2020353568496014
172.0,-1.5161980954940395,0.9887631896672558,0.92,-4.067858313484848
174.0,1.6424476778393235,0.993591031271267,0.93,2.728509011389147
122.0,-1.4704147298082473,0.9347227592906766,0.92,-3.2018468539471803
111.0,1.6600457491109395,0.9773025231060231,0.93,3.0095310516419875
153.0,1.339190959181281,0.9651792035666479,0.91,1.814471853465092
164.0,0.8740301836608858,0.8710707325144144,0.82,1.159984769823247
117.0,1.5518413301005678,0.9782216155648238,0.92,2.5813307342345286
124.0,1.4550923106948521,0.9457260287791981,0.92,1.9049200828172446
111.0,-1.6561378906773676,0.98904513739999,0.93,-3.1316092019521085
144.0,-1.4622964811657817,0.9614269256666823,0.92,-1.6639653736318134
119.0,1.5335863241430954,0.9657742813920009,0.92,3.5481118260179603
119.0,1.3994881628640554,0.949699084258671,0.91,2.1240963565459783
121.0,1.729885617960053,0.9940149236571527,0.93,2.885066325140083
122.0,-1.3858026664988174,0.9170878330527652,0.91,-1.9299961197411
117.0,-1.7397582925738038,0.9941343959590955,0.93,-4.219490946916812
