c,sigma1,pi,piStar,y
160.0,2.336059921152485,0.9873794319331481,0.98,-2.59355995040685
161.0,2.108905438997588,0.998037930618969,0.98,3.791658785853125
161.0,2.0310830373992803,0.995594828158591,0.98,-2.777723643204499
166.0,2.0818363591585434,0.9931132004862104,0.98,2.329176206306469
169.0,2.21773967350244,0.9989788189405934,0.98,-3.235134841517272
181.0,1.642591446594362,0.9877528734169048,0.97,2.3248821385469656
154.0,2.3097291537129383,0.997302556858588,0.98,-4.337868795924722
176.0,2.2447573459788015,0.9836730244349017,0.98,4.101622343058796
162.0,1.95023652564489,0.987852074574493,0.98,2.1223768082877847
154.0,2.4181633710907966,0.9976484301210382,0.98,-3.180382615897313
170.0,1.9370762370663024,0.9988035794298656,0.98,-4.257698975657948
154.0,2.575072997101327,0.9999901723217162,0.98,6.397501170283884
169.0,2.1134776715081465,0.9887950527069302,0.98,2.8421805235582114
163.0,2.017209037402513,0.9897118065605284,0.98,-3.1599856361667293
159.0,2.1702340430858795,0.9883515710655304,0.98,-3.0545462220748423
152.0,2.582132587371839,0.999992988809984,0.98,6.022984241940352
156.0,2.347291443675328,0.9899316446979693,0.98,3.055836862985628
166.0,2.3712719761005316,0.9999886244618367,0.98,-4.684580097312253
167.0,2.3871353698374276,0.9995985527915751,0.98,4.513860772683184
169.0,2.3268637262251843,0.9996029005397378,0.98,4.5766317636675025
152.0,2.4066450175311367,0.9996682893334556,0.98,4.375309644671561
163.0,2.1811695323370666,0.9967698597714458,0.98,-2.8748693478047027
177.0,1.8519904713128033,0.9983361197360093,0.98,-4.030715037125704
165.0,1.988511998599706,0.9985271045950252,0.98,3.37845254665587
153.0,2.4965105590802454,0.9995313263994324,0.98,3.6462388845369014
152.0,2.404977033075711,0.9980239426315516,0.98,3.2176576471271785
170.0,2.0614771844246635,0.9867922381813293,0.98,2.713412313331758
154.0,2.288083693495118,0.9921621311041999,0.98,3.6184119085505295
163.0,2.2845180886893175,0.9856150399050321,0.98,-2.388192585160573
153.0,2.378235895667791,0.9986091720331345,0.98,4.225579898275875
164.0,2.334954218902695,0.9999458413184656,0.98,-4.692013600286097
154.0,2.301437453961671,0.9977468718326983,0.98,-3.2806893041887335
162.0,1.5331221821012433,0.9783469970933081,0.97,-3.2506462872267745
159.0,2.3879580992523626,0.9998325970620718,0.98,-4.247471176058181
161.0,2.4076738482885536,0.9996974670121251,0.98,4.135644634545126
163.0,2.4748885924954838,0.9994809433576073,0.98,-5.188181527012375
159.0,2.3427043161679384,0.9916055106195459,0.98,4.279012676164782
153.0,2.249001142498903,0.9975432014259411,0.98,3.230394370386866
152.0,2.307765449172584,0.9907892808698859,0.98,5.384121476998334
170.0,1.7680002753171185,0.9835691219025364,0.98,-2.3525050869538218
160.0,2.0761177957082233,0.9952745345666564,0.98,-2.982331915291486
162.0,2.1852668142551788,0.9943504837001056,0.98,4.26607639488259
157.0,2.3471132781979915,0.9893033616085446,0.98,3.971078051863416
155.0,2.352270473650793,0.9952752868483201,0.98,-2.6211594391790287
152.0,2.4835631797088458,0.9989491050837696,0.98,-5.260180348391641
154.0,2.3664793917978426,0.9955947110189658,0.98,2.792162127817789
156.0,2.236235323992743,0.9988271500492071,0.98,3.318998927662858
168.0,2.4137937609099476,0.9978078803838689,0.98,-4.75725377804087
167.0,1.9550251869722217,0.9889728787169076,0.98,2.776052234018129
171.0,2.4754912353304945,0.9999880784367262,0.98,6.716844931922123
155.0,2.31050058675792,0.9978136652165,0.98,-4.298325337397742
158.0,2.416076171463352,0.9997555923190223,0.98,-3.8358915656644674
156.0,2.6545637440679313,0.9999999996152212,0.98,7.425994962259058
157.0,2.4379949949639608,0.9983425598244868,0.98,5.232539409733753
162.0,2.2114235990312414,0.9997831578788393,0.98,-4.474773573188102
152.0,2.288720746794349,0.9848093382822034,0.98,-3.1996979771798713
154.0,2.3594340086435945,0.9988840366474848,0.98,-3.3665416574650826
167.0,2.2563311863633952,0.9920535246427359,0.98,-2.4273188271537802
152.0,2.3911110922782606,0.9829606397765744,0.98,-4.649044740937813
168.0,1.9775054078927263,0.9975541463847902,0.98,3.7594278793718736
154.0,2.3372580264709057,0.9978159593204216,0.98,-4.129920094702867
163.0,2.08778269706208,0.9921812663671715,0.98,-3.14731361472311
180.0,1.8607092643894108,0.9849025182428718,0.98,-2.093824748294003
155.0,2.2978052756150222,0.9983276592696103,0.98,4.506810681268181
156.0,2.7159789884736996,0.9999999998973452,0.98,8.093265871014838
150.0,2.420775931181845,0.9924579472809971,0.98,4.735957265165886
165.0,1.910939313340887,0.9858264144646269,0.98,-2.0086224092616267
159.0,2.528023496225014,0.9999967811869003,0.98,-5.83767477782316
156.0,1.5537265708083137,0.9904484519042742,0.97,4.909226156670668
163.0,2.0826401410457756,0.9892304813548649,0.98,2.840661221234277
164.0,2.2006893840704413,0.9960288955723361,0.98,2.9427239442751043
