c,sigma1,pi,piStar,y
122.0,2.3332203817305364,0.9992686456726609,0.98,-3.3272012857401485
120.0,2.6367069446756317,0.9999988624236315,0.98,-6.533023764615274
114.0,2.428114452080137,0.9980936923152716,0.98,-3.6543951808072968
117.0,2.398280472476328,0.9968786205248527,0.98,3.6613171824470196
112.0,2.4414492853854792,0.9977028018834803,0.98,-3.5759324050949193
126.0,2.3429541637220845,0.9999969181357499,0.98,-5.905407862004462
110.0,2.5612781911674563,0.999388887444737,0.98,-5.404009107335682
124.0,2.05869855735469,0.9970478625338589,0.98,-2.782355878127482
119.0,2.4102092571479847,0.9956886319415839,0.98,-3.073656785184889
132.0,2.1560036053076805,0.9958006916463195,0.98,4.0399130712789155
120.0,2.2632150513002416,0.9920780839198702,0.98,3.282593211301634
117.0,2.3409713666020084,0.996251511953471,0.98,-3.2036705100618983
120.0,2.367367854205111,0.984788494719272,0.98,-3.9194728820572142
113.0,2.3817708327891003,0.991908391607849,0.98,-2.3715814335634633
117.0,2.5271132640911333,0.9999829656457043,0.98,-4.667785877933693
118.0,2.3364885719399937,0.992186666150669,0.98,2.672247456183426
114.0,2.4127381786352418,0.9982090403435399,0.98,3.094234476967044
118.0,2.2327624341822756,0.9957161194145492,0.98,-4.1481536090588245
120.0,2.3545695933055653,0.9999050010767264,0.98,4.260685660488555
127.0,2.1299070933873168,0.997784251610653,0.98,3.3650678169799555
113.0,2.5596666462707613,0.9998642644355622,0.98,5.317865649316025
112.0,2.394573519272466,0.9935732883016698,0.98,-4.075722372162328
115.0,2.521770909957852,0.9997667585696707,0.98,-4.084623807463991
112.0,2.5223849258265414,0.9974537771016837,0.98,-5.067111833853026
113.0,2.350160099139847,0.9802180101825348,0.98,-1.5312819748047037
116.0,2.2995644242784987,0.9966762707403004,0.98,3.0627889186726183
121.0,2.417241519011151,0.9972324879879775,0.98,4.1824207856787785
111.0,2.5726055305585116,0.9999007209445641,0.98,5.542882875470111
126.0,2.129678007365748,0.9803769776060084,0.98,-1.4414691135173852
115.0,2.473124485865153,0.9987575342443318,0.98,-4.798187997240527
128.0,2.227202754335658,0.9956452067445206,0.98,-3.004818108923166
141.0,2.179035449230702,0.9967689160772345,0.98,-2.7686810277384906
127.0,1.6079377893565787,0.9836197338540984,0.97,2.3645185524718046
123.0,2.3715690653270185,0.9959010956742149,0.98,3.703558647865183
114.0,2.52992111846295,0.9996925407083008,0.98,-3.694333406579369
149.0,1.8852277797202286,0.9956620666498067,0.98,-2.800206377988733
157.0,1.836941846280931,0.9905025829209093,0.98,-3.2651977797054816
111.0,2.4598242197819635,0.9947984182754314,0.98,-4.716230157244391
121.0,2.192200699187223,0.9947045887194723,0.98,2.921362761473344
112.0,2.4558381647106136,0.9844261784057431,0.98,-4.6196883028128
118.0,2.3086754188320238,0.9894874313254551,0.98,3.2700314948238405
131.0,2.3358948769876475,0.9993868358575377,0.98,-4.375059454468361
138.0,2.360979099117311,0.9990973632301542,0.98,3.611931121119683
117.0,2.3480037917638303,0.9916967736919267,0.98,-3.2474851723313005
123.0,2.277710385649681,0.9986973580764511,0.98,3.5921100281422853
119.0,2.346466271250902,0.9988965241694651,0.98,-3.7259092665268874
113.0,2.468850848857921,0.9853340134979526,0.98,-4.7568747988597755
121.0,2.3020741052660654,0.9928999470483644,0.98,3.5376455906683417
130.0,2.1260641872461483,0.9848758888964503,0.98,2.3671142803387535
134.0,2.2191781341507726,0.9971137782198483,0.98,-3.49180675460992
113.0,2.3755337660140947,0.9817791251614999,0.98,-3.768929521717161
133.0,2.06731442464924,0.9951817847866947,0.98,-3.217314190095367
119.0,2.415499793612301,0.9959733826105742,0.98,-2.6409595927237945
119.0,2.3301286389712814,0.9902835833536268,0.98,2.844150342515731
114.0,2.695892933438699,0.9999999994441002,0.98,6.855126380387467
112.0,2.4664099626488487,0.9977416972063609,0.98,-3.2599327540585343
122.0,2.037709798562421,0.9874657279346284,0.98,-3.1082566655413926
131.0,2.039095177320951,0.9931680101378004,0.98,-2.6285150376667916
114.0,2.4449953782529965,0.996327773853933,0.98,-3.9495232775310196
114.0,2.409669667594972,0.9834834805115048,0.98,4.3307103572476375
126.0,2.428554521996538,0.9994667505656699,0.98,4.677248498259958
114.0,2.419510959779186,0.9835743951614179,0.98,4.221280138909518
114.0,2.31598185106254,0.9873810737631717,0.98,2.4887564889830815
115.0,2.4210636654496174,0.9813900458897588,0.98,-4.384345696171444
