c,mu1,pi,piStar,y
204.0,-1.1250992450967783,0.8815167774727661,0.88,-1.6674256793339397
208.0,-0.8890754325587426,0.9363614491021016,0.83,-2.318036728232818
207.0,1.3258067036683634,0.9134484496176746,0.91,2.9413106128022646
237.0,0.7829067506525711,0.8862832867244063,0.78,2.3567979246118185
204.0,-1.294335754880562,0.9377405921864964,0.9,-2.3870982193164982
205.0,1.1104856642326288,0.8914497777955908,0.88,1.4642378569928733
216.0,-1.0266665027576145,0.9274866779234683,0.87,-2.560064150691259
215.0,-1.5612621731255691,0.9958012509829279,0.92,-3.1061430936181242
201.0,-1.5178481386647795,0.9963979893023653,0.92,-3.8258943580288176
226.0,1.2071497730671499,0.9684802086563998,0.89,2.063337654107287
204.0,1.2329296288599685,0.9207191573365608,0.9,2.8421311984068183
248.0,-0.9600260434575559,0.921118799817329,0.85,-2.1595413782166655
203.0,0.7940336262590013,0.9192118258987271,0.8,3.0987806782769227
221.0,1.3991050296622556,0.964877376763884,0.91,3.663033924841055
213.0,-0.9078470472989049,0.9297136415072229,0.83,-2.372746532597062
210.0,-1.4427317075454638,0.9776814775462978,0.92,-2.5820401705717475
209.0,1.4019208337675335,0.9658337080858347,0.91,2.8239454926696386
281.0,0.9588074414634469,0.9462210099571414,0.85,2.4507249707345853
221.0,-1.4718525450738598,0.9855672535214762,0.92,-2.4887026663876997
201.0,-1.3120374922104274,0.9597275416447186,0.91,-2.5315489610919504
201.0,1.350073314964752,0.9877237192540428,0.91,3.0881627700328895
219.0,-1.1808188679040572,0.9113037128381922,0.89,-2.7909952195417653
266.0,-1.1126968632820224,0.9682540942714675,0.88,-2.6906951603386857
232.0,-0.9117663357560164,0.8794564155263767,0.83,-2.0198545469992535
214.0,1.0578680121332744,0.8945684720266387,0.87,1.6687098142377883
204.0,-0.865286643650459,0.82640247766569,0.82,-1.5512338027962538
219.0,0.7472873249747628,0.7724868895995924,0.77,1.2043381493043215
204.0,-1.4326920751752954,0.9891258812394118,0.92,-2.5796113153908995
236.0,1.158801748314643,0.9473838338144366,0.89,1.8297964249316905
248.0,0.9879350443907361,0.9345390118479974,0.85,1.7547415433227083
130.0,1.4744047241843423,0.9240065866847468,0.92,3.4555814027170286
213.0,1.0468443136988863,0.8953045694170884,0.87,1.8636248812788938
189.0,0.9860527968726563,0.9183961846123921,0.85,1.9771663477305768
210.0,-1.135349447133873,0.9597514038600682,0.88,-1.9207867455067253
202.0,-1.5053007756054204,0.9765048681587091,0.92,-3.1696778608546046
206.0,-0.9979871472261274,0.8661041353876273,0.86,-1.2211766745404289
223.0,1.1791632941449843,0.9246411570647932,0.89,2.0918338207721807
213.0,-1.5307925050421762,0.9921033955544812,0.92,-3.3911963673264673
204.0,1.1898145280089376,0.9158031389086045,0.89,2.1686435319984882
207.0,1.3595760489558444,0.9477674829911601,0.91,1.362316063708888
207.0,1.0750676128161862,0.9362214092630059,0.87,2.3053748957204547
208.0,1.399443320622936,0.9777901257393787,0.91,2.4548341791445383
224.0,1.4239232724382005,0.986805969736985,0.91,2.4589364669010103
225.0,-1.3388969291352875,0.9651736543777603,0.91,-4.098085355817326
216.0,-1.0296465484471589,0.9523426268305133,0.86,-2.3227946977607186
150.0,-1.0122928869638868,0.8647060171172821,0.86,-0.711425074471685
202.0,1.187605344903293,0.920017081254845,0.89,1.496300698580545
227.0,-0.8875961410711699,0.910753539621988,0.83,-2.159201799568375
214.0,-1.0075637313574053,0.8611639681559853,0.86,-1.5746176681771742
224.0,-1.197592123327206,0.9492376480566145,0.89,-3.073299764609879
204.0,1.1298381691894863,0.8850058721863359,0.88,1.9850633654291043
204.0,-1.4653412526504124,0.9967392318139999,0.92,-4.225372304931577
