c,mu1,pi,piStar,y
150.0,1.002273707380299,0.9873095638119306,0.97,2.6502853455492845
125.0,1.456377231496961,0.995914925379899,0.98,2.887120841793414
166.0,0.8975417944390978,0.9863600083643209,0.96,2.3769048367597354
138.0,1.0658095696308372,0.9723406344389237,0.97,1.4756338747239597
140.0,1.0151291076026279,0.9735462762786504,0.97,1.0053500689067145
123.0,1.1621078886580016,0.9885969115354112,0.97,2.3338358586781878
123.0,1.3866720401422614,0.9963364292487524,0.98,2.0792007802111714
143.0,1.4474925966993188,0.9978870845187665,0.98,2.404516888041766
132.0,1.276362570607214,0.9817842813266288,0.98,1.0757983722053868
132.0,1.4093885557942132,0.9827391574373415,0.98,0.9152859595388206
148.0,1.2642739255575928,0.9949607191606041,0.98,2.126945274790378
121.0,1.6381821826743417,0.9862992065817728,0.98,3.877089343585882
127.0,1.2724500145475146,0.9926627753236238,0.98,3.2736608477909916
146.0,1.0111052503986748,0.985424032837477,0.97,2.257419938917194
150.0,1.0030820768690918,0.9764282313668302,0.97,0.9807420974087053
119.0,1.3946155878982545,0.9892827437193187,0.98,2.241242606774157
117.0,1.5819590462720106,0.9945580121368662,0.98,2.570102606910257
184.0,1.0623985127229898,0.9801410960986638,0.97,1.993219539835977
141.0,1.1639766054295015,0.9899284901098246,0.97,2.579400197910041
139.0,1.4211270739482762,0.9933176762265286,0.98,2.634235681710206
145.0,1.0446524055285664,0.9849699824945489,0.97,2.8124002669842714
117.0,1.2670954154881409,0.9820702759550771,0.98,1.4640160745563238
165.0,0.8530972065811834,0.961557863320995,0.96,0.6044448689332216
127.0,1.1859302925566513,0.9770178089484498,0.97,1.2657757925758952
143.0,0.8922938806539911,0.9754385483533028,0.96,1.792324288843364
155.0,0.8997555777414233,0.9734658961522987,0.96,1.1174268252931638
132.0,0.9690391856953111,0.9775980119553601,0.97,2.0331813212149736
169.0,1.5430978513808378,0.9822597322395985,0.98,1.8565369295204488
121.0,1.364086632201727,0.9875549384427351,0.98,2.0037052635967827
123.0,1.2722310576665907,0.98094164807296,0.98,1.589973287144018
151.0,1.0048801976806174,0.9763963534779633,0.97,1.21689352800146
176.0,1.1162739685509275,0.988571751886962,0.97,4.296762352516003
138.0,1.1446407250956123,0.9882398946871193,0.97,2.3138614579069103
126.0,1.1020700727875343,0.9782670687299018,0.97,2.0949143122181937
165.0,1.446660216912921,0.9830048570865405,0.98,2.4426905452883285
125.0,1.2366661251396927,0.9936093935378086,0.98,1.9528124005271832
139.0,0.9578484703884618,0.9609549998728149,0.96,0.6688088010872162
135.0,1.2105263943431845,0.9960344947843557,0.98,2.7656307789859427
120.0,1.677578843855282,0.9951597859642319,0.98,2.4614973582897344
125.0,1.3739307922483963,0.9854377459177971,0.98,1.4611726674075416
153.0,1.2706256146986221,0.992319456124066,0.98,2.927786735447153
131.0,1.4015698331428343,0.9933636188746201,0.98,2.7636890501321014
136.0,0.9556052306223526,0.9693175885890435,0.96,2.0410213126821004
139.0,0.9976341110540714,0.9819643827687341,0.97,1.7179470894473017
138.0,1.2571903060146004,0.9891700989840314,0.98,1.7303231545112854
139.0,1.1078051427070146,0.9910862145005964,0.97,1.7682604026259476
128.0,1.418942170907612,0.9915902434644208,0.98,2.6462187283332455
131.0,1.314577754999398,0.9914437039263718,0.98,1.7373482058950498
137.0,0.9468788019978491,0.9806149717543233,0.96,1.8982801171220212
123.0,1.673476928349449,0.9931224069930409,0.98,2.664984208557546
132.0,1.1998233518874046,0.9841878522825286,0.97,2.797839644021521
167.0,0.7929023066660338,0.9605034829582841,0.95,1.7074133546098107
115.0,1.4587975722060045,0.9817635806684578,0.98,1.7196199842431668
128.0,1.2271308542328634,0.9849695947175034,0.98,1.1180869262478808
132.0,1.5860770144646092,0.9861849647076051,0.98,1.6810635312931903
140.0,0.9539091722636653,0.9855880924834367,0.96,1.8923863680182738
117.0,1.6605404226829106,0.9948490295723124,0.98,2.856417864702247
143.0,1.2407738714853997,0.9805407214763897,0.98,1.1735888750440366
113.0,1.6287376144058696,0.9880546880380237,0.98,1.915513563232816
159.0,0.9664854672711716,0.9757584983596348,0.97,1.3590653350991881
114.0,1.6585591361975487,0.9917002830728436,0.98,2.451829700469051
122.0,1.3094268462063952,0.9822621800153445,0.98,1.7276053523434651
135.0,1.320218965902346,0.9950220606399083,0.98,2.178909731869571
121.0,1.1983215445509254,0.975557843991854,0.97,1.1606066222609015
120.0,1.5198206978337392,0.9932323967102339,0.98,1.9123857130816173
136.0,1.0368125931584333,0.9837963479186079,0.97,1.9649115979619238
158.0,1.08790161680283,0.9716255532121276,0.97,2.3127342854515685
130.0,1.2876643937281045,0.9950850927957633,0.98,3.325311520226215
134.0,1.1108792831933947,0.9729863207264456,0.97,1.0491057641089025
128.0,1.3708901435750152,0.9843555840557353,0.98,1.7906640580683328
135.0,1.4229691402958153,0.9902884762961851,0.98,2.4094851025291693
116.0,1.587139582046745,0.9837371519346246,0.98,1.5915184187470457
