c,sigma1,pi,piStar,y
311.0,1.7099748813146654,0.9953245106194083,0.96,-3.1940571680864367
314.0,1.5850696066242513,0.9645831047304232,0.95,3.107645981867061
323.0,1.7570820932631754,0.9871934601018401,0.96,3.1306717380465328
316.0,1.7794581637870663,0.9966733569273662,0.96,4.47602269139828
309.0,1.6597924598945049,0.9819241154985175,0.95,3.0382398715206573
338.0,1.8447673529882422,0.999997175874472,0.96,-6.349226048676452
308.0,1.8079159133293243,0.9989711147786519,0.96,3.7368953327671557
307.0,1.9377542602662774,0.9981980288468038,0.96,4.121876400057465
304.0,1.9976310963542243,0.9984105132068503,0.96,4.7907252255664625
318.0,1.5395526064124319,0.9970236234574794,0.94,-4.07456652556736
303.0,1.8621841204300935,0.994830385392623,0.96,4.0278362970342485
307.0,1.6519947382586306,0.9626145004995451,0.95,-3.7317939214581277
338.0,1.81658963593422,0.9764125074981237,0.96,3.9626026100325547
304.0,1.7300678273160568,0.9663917124581406,0.96,1.852888200570607
330.0,1.618412647557555,0.9737081430895841,0.95,-2.201664620070681
316.0,1.7420841316302809,0.9788637051718141,0.96,-2.4461187058318012
312.0,1.8656166620312933,0.9993251516383743,0.96,-4.30378678643319
337.0,1.5689676873013658,0.9854723759592402,0.95,3.0409264125724507
307.0,1.7725695781283972,0.9643080594111682,0.96,-2.5021216683215717
304.0,2.028563662736821,0.999150791298036,0.96,-3.6133405555964786
303.0,1.5235612317426062,0.9697662700679703,0.94,2.1857991151185603
301.0,1.8956859012696616,0.9871477184033164,0.96,-4.23011127040604
310.0,1.7311547163547096,0.9642874215126623,0.96,-3.866736702805736
250.0,1.656831537350669,0.950135478093409,0.95,-1.79619013637136
320.0,1.6388324214203929,0.9897132727944983,0.95,3.5390707335917546
310.0,1.6217410051935148,0.9701378311478915,0.95,2.7140265693396235
325.0,2.108216369077078,0.9998619387805977,0.96,4.787398075442678
302.0,1.6119843073406217,0.9786635636800596,0.95,-2.713594831278741
315.0,1.7295027973172619,0.994971524164832,0.96,-4.235942153121494
