c,mu1,pi,piStar,y
317.0,0.907865267065525,0.9719667002988103,0.96,2.039387637720046
334.0,0.7578029510193222,0.9628490492339189,0.95,1.9117786605108122
317.0,0.9291151531284347,0.9607360329359286,0.96,1.4433669478442273
311.0,0.858069691743432,0.9681414710772575,0.96,2.0952912130889727
317.0,0.8001839824776106,0.980894480638689,0.95,1.6636930031938415
318.0,1.065148261417413,0.9800191646469254,0.97,3.705416519774027
311.0,0.9056060805915386,0.9620233997847399,0.96,1.0485667368543639
307.0,1.00835056783992,0.9909295145694131,0.97,2.2547865239940563
362.0,0.827794643568191,0.9632056216196412,0.96,1.8933050390327868
348.0,0.8739032196717738,0.9863735188550546,0.96,1.8390262125053956
320.0,0.8294123295034668,0.9754792082359144,0.96,2.1964580978905337
322.0,0.9778547456556563,0.9778487270870078,0.97,1.7301925961746178
307.0,0.7304373614513708,0.9672947318413888,0.95,1.6735800764202926
312.0,0.9100790825027335,0.961191901012055,0.96,1.1397610853680968
322.0,0.8595196285566645,0.9857664721299173,0.96,1.9090081218765234
314.0,0.9078078434849942,0.9672500511949138,0.96,0.9097507160215584
317.0,1.0179466454312753,0.9739069415950784,0.97,1.070826198749975
311.0,1.0819476825804528,0.9852335134232929,0.97,1.6610172312304696
319.0,0.8715242876501766,0.9646682549341409,0.96,1.0931792300964542
307.0,1.1239775296891301,0.9969091518290694,0.97,2.8408823063874333
336.0,0.7755460768820938,0.9564079672583876,0.95,1.749809888129794
407.0,0.9899842870683047,0.9846923232534383,0.97,2.1668539471347947
340.0,0.9822172232221054,0.9839453686615801,0.97,2.150095001829704
313.0,0.9269140941117214,0.9660962093091567,0.96,1.5001360311240497
313.0,0.8962683442094481,0.9622445210103823,0.96,1.3407845024839016
462.0,0.8247774348777844,0.9653710902727639,0.96,0.9788475849389112
315.0,0.7951631141149702,0.9806129606802358,0.95,1.6708082727631222
304.0,0.8825268469354082,0.9677032829116687,0.96,1.839379642685776
312.0,1.13039100946875,0.9791445607747734,0.97,2.1034523414334334
313.0,0.8969896271927587,0.979557240303999,0.96,1.4170925390563172
316.0,0.8865398967538272,0.9723007976849428,0.96,1.331709206527846
