c,mu1,pi,piStar,y
331.0,0.9096879522054905,0.8752879442407767,0.83,1.5273796750631843
314.0,1.001181519030063,0.9398010289273853,0.86,2.367741808443262
312.0,0.888819881364116,0.864874766264793,0.83,1.3061242815673109
334.0,0.9128996184406004,0.9173952889505711,0.83,1.5982368610617772
331.0,0.8898597561153684,0.8354523106124514,0.83,2.625039316010703
317.0,0.8793654511483685,0.8679115551264412,0.82,1.6508029482233177
243.0,0.9496120238326257,0.9110655945003188,0.84,1.343104068509535
310.0,0.9676136180693149,0.8944767098702875,0.85,2.294665917947295
308.0,0.9278346682892676,0.9038538943707282,0.84,2.3142124336477563
345.0,0.8922180942040873,0.831220319175783,0.83,0.8305380866347816
351.0,0.9363857019319889,0.8565135603042231,0.85,3.676639197583296
319.0,0.946040362210361,0.9256800533776559,0.84,2.1141439309336585
359.0,0.7842560036605568,0.8471798316649106,0.79,1.0490304175169367
315.0,0.8526306606356489,0.8335496949693508,0.81,1.7551727152709025
308.0,0.9592341722457252,0.8509025044868114,0.85,0.7410450514750294
316.0,0.8042957741187148,0.8309717644472084,0.79,1.2621186673455034
320.0,0.7971699754239383,0.8797518445803605,0.79,1.5446167465310567
368.0,0.9583508564903392,0.9485434147158626,0.85,2.006124380300081
328.0,0.9160244759337698,0.8533772221352807,0.84,1.434751962854409
317.0,0.8431048794511751,0.8828054762086802,0.81,1.377076050582142
306.0,0.9590944796279814,0.8685881567462849,0.85,2.6411830032713652
311.0,0.8679634007228323,0.8450018578435486,0.83,3.3146210345248646
401.0,0.798807360986328,0.8410856285406513,0.8,2.010111741252838
323.0,0.861892488995502,0.8433053928283784,0.82,1.0417233318502717
320.0,0.9329517389976346,0.8999521025192162,0.84,1.835587243235007
232.0,0.9476120231956862,0.851226861337534,0.84,0.9863329632669185
315.0,0.7155369697485028,0.8034280254357801,0.76,0.767525182291291
336.0,0.8647236046091933,0.8475023298574467,0.82,0.7149980323239069
