"","x"
"1",0.0148542912040939
"2",-0.00692807566095146
"3",-0.00269714164372932
"4",-0.000337954700869116
"5",0.00519038742121181
"6",-0.000931176552922846
"7",0.00170536943496153
"8",-0.0014206677745419
"9",-0.000201506971457208
"10",0.00423172576456418
"11",0.00800866651968137
"12",0.00601029443091862
"13",0.00408151161046202
"14",0.000344376828527139
"15",0.00867618301315738
"16",0.0104258421210351
"17",0.000857219090791406
"18",0.00327209365284356
"19",0.00938952451804064
"20",-0.00389742499519081
"21",-0.00158458985220749
"22",-0.0058802141722211
"23",-0.0117067632707203
"24",0.00733069823799504
"25",0.0019238490005312
"26",-0.010057196257471
"27",0.00654120778656946
"28",-0.000448400010192632
"29",0.000136095386075719
"30",-0.00416396162285366
"31",0.00408764620099831
"32",-0.00991309497569124
"33",0.00556508059752334
"34",0.00887861256884412
"35",-0.0207870211362762
"36",0.00817562439574072
"37",-0.00725736242040572
"38",0.00566450463466493
"39",-0.00314241028025953
"40",0.00324918130660754
"41",0.00166495295271846
"42",-0.0048425705621084
"43",-0.00759476058984545
"44",0.0063582229662393
"45",0.00014916902240094
"46",0.00588800031441668
"47",0.0114064304530683
"48",0.00124659202223246
"49",-0.000871630331768012
"50",-0.00772668420946226
"51",-0.00386908257213352
"52",0.0136461104822718
"53",-0.00908215334549681
"54",-0.00305077772628292
"55",-0.00907705876085264
"56",0.00303771923511864
"57",-0.00919594671031878
"58",-0.00105767155589795
"59",0.00870606528452359
"60",0.0115538197688478
"61",-0.00747665874009749
"62",0.00566938200517434
"63",-0.0016138216223053
"64",-0.00488703245202259
"65",-0.0109087161461617
"66",0.00419299341116496
"67",9.38573285837139e-05
"68",-0.00226821004268434
"69",-0.00324075096158948
"70",0.00615552436092143
"71",-0.00241568474560711
"72",-0.0174456388803689
"73",-0.0278993305416595
"74",0.00412597388725857
"75",0.00164870128861498
"76",0.00449180803466402
"77",0.0150970149111197
"78",-1.6453630467108e-05
"79",-0.00312623426823758
"80",0.0114147512316518
"81",-0.00424578166884922
"82",-0.00321115846739421
"83",0.00269450388235797
"84",0.0139340441598467
"85",-0.00152214712183892
"86",0.0104285201325744
"87",-0.00250106354379159
"88",0.00200116037918786
"89",0.0012556494426274
"90",-0.00367782639146856
"91",-0.00399165718155402
"92",-0.0171537073516768
"93",0.0300487107791051
"94",0.00418067586874485
"95",-0.0076301197052425
"96",0.00132799439041839
"97",0.0202652563749596
"98",0.000947747826858994
"99",-0.000391998631147936
"100",0.00218935015269072
"101",-0.00255818004372274
"102",-0.00896531050365363
"103",0.00270453660323653
"104",0.00293919026160173
"105",0.00460975005116575
"106",0.00789231041844757
"107",0.00569677520097697
"108",0.0022660466736373
"109",-0.00321961290636143
"110",-0.0040609025811803
"111",-0.0054372685385523
"112",-0.0043306255012144
"113",0.00342728430939734
"114",0.00750056931872599
"115",-0.00016225074104394
"116",0.000497735716311291
"117",0.00469676131760179
"118",-0.00308649818484063
"119",-0.00278150894467791
"120",-0.0252159028208631
"121",-0.0179727089875164
"122",-0.00393744650306011
"123",-0.000767594989922488
"124",0.0231561057189634
"125",-0.00998400941453652
"126",0.00276359059631378
"127",-0.00844957558082148
"128",0.00123148847879059
"129",0.00873548340031191
"130",-0.003473104028985
"131",-0.00129319208230227
"132",-0.0266265597675093
"133",-0.0116056377466195
"134",0.000667299348249146
"135",-0.00644675683114074
"136",0.00217145880402369
"137",-0.00254290791731019
"138",0.0034837245346166
"139",0.00280371185750014
"140",0.00328360548049643
"141",-0.000349820099984874
"142",0.00327847084359478
"143",0.00242472063037692
"144",-0.00521087453850288
"145",0.00068298185182671
"146",0.018213480693528
"147",-0.0089514446589794
"148",0.0140336517841982
"149",-0.00829077759859371
"150",-0.00885625776131684
"151",0.00629320081683374
"152",0.0118379129393977
"153",-0.00649038763482637
"154",-0.000169469229712484
"155",0.00669106233992465
"156",0.0131893761708126
"157",0.0136231626096669
"158",-0.0166363250464018
"159",-0.00472618993495297
"160",0.00976670956792226
"161",0.000356902307486754
"162",-3.03087870021936e-05
"163",-0.00168895193673859
"164",0.00472763510028679
"165",-0.00204452879190792
"166",-0.00731371791341096
"167",-0.00798194319764317
"168",0.000336448602225842
"169",0.00572905759988183
"170",-0.0166122930814272
"171",-0.0121427745043255
"172",0.0152665212361776
"173",0.00745685622357636
"174",0.00153264373623294
"175",0.00347795802214727
"176",0.00493835679300584
"177",-0.00224968165075056
"178",0.000560470964727437
"179",-0.00118602501421016
"180",-0.00124192220474451
"181",-0.00335602181717447
"182",-0.000842245455588591
"183",-0.00247825855680368
"184",0.0172118268609177
"185",-0.0102022098922796
"186",-0.000357074592420923
"187",-0.0101709122004222
"188",-0.007148614774292
"189",-0.00569616521237558
"190",0.003493358854631
"191",-0.00064648181462052
"192",-0.0107343594424131
